PSU,DistOsset,DistAbkh
3424050,91720.58429,241403.8032
3425037,50271.59713,193744.6057
3522022,86174.86064,283027.0172
3522038,75989.37315,284325.5424
3622005,67270.77578,269749.922
3622065,68703.42176,271338.4899
3622067,67587.20936,270144.2083
3727018,12260.41372,230134.9312
3828039,20188.07398,254084.4241
3930002,13614.45501,217484.5949
3930021,3202.309417,220347.6167
4032040,9099.338475,182619.1153
4033019,1824.385814,168565.9442
4033023,15996.27701,169614.6345
4033030,15809.46143,180779.0373
4132017,13393.03124,191385.9833
4132019,14660.98628,191077.3618
4132020,14424.75028,190509.8434
4132061,14243.50143,189970.4078
4132081,15158.77617,192518.5881
4132084,14480.33153,190599.9554
4232048,6568.156469,187967.4499
4232099,1357.068869,174214.7738
4335021,18393.94136,150087.6151
4335028,10480.34686,159553.2574
4335042,18989.7644,154404.7498
4335048,16106.97648,155650.8035
4437020,72431.84966,134107.4874
4437023,68865.30443,139475.4512
4536004,40969.96448,147910.7459
4536007,41511.05335,147567.1041
4536018,56118.6465,148200.6891
4539002,75867.09214,161610.0663
4539023,73271.94063,160211.9982
4640002,83450.05926,186564.7496
4640010,73827.1879,172537.5542
4640040,105335.0114,189845.489
4640067,83804.21611,186995.3572
4641005,84773.0623,206669.5809
4641008,95641.51931,193945.8166
4759001,73314.79282,79532.14885
4759004,72996.19592,76546.34251
4759005,72913.52,76150.93142
4759018,71557.85268,76081.04439
4759026,73134.08713,74311.63395
4759106,75223.62138,75697.19516
4859047,75223.30068,72601.79496
4859120,74079.57847,74307.9215
4959061,76002.93136,72763.72127
4959082,77876.21732,71195.04155
4959091,76846.78359,73592.08239
4959096,76117.6513,74577.12457
4959099,75632.15806,74086.71662
5049004,47714.17935,97553.41467
5049021,61173.05691,88356.29241
5057007,49308.83754,91311.28974
5057031,47187.28015,92352.25029
5148020,15612.18879,134234.002
5148026,41091.18234,122545.168
5148035,41014.30967,119538.4648
5148037,22770.13986,132015.7836
5152014,61534.31247,96235.8265
5152018,66638.16172,99837.26182
5152026,70621.69114,90351.09835
5251018,49868.95,105652.38
5251043,50033.12503,105390.4442
5251049,42028.91574,108129.6251
5350041,12961.57268,126766.5336
5453008,78256.80412,86322.16017
5455001,96090.6019,51612.36437
5455003,95495.85029,52477.44075
5554004,105491.761,61000.77384
5554013,104098.6071,61869.61444
5656003,25218.96019,116682.2782
5656023,28464.44636,111685.2514
5758001,81369.41448,63215.59293
5758019,87259.48823,65036.28714
5843010,24167.14482,115694.4617
5843017,11487.48827,124481.4614
5845018,61706.56623,80533.32398
5846003,67337.54574,73075.37886
5846005,69423.97822,69600.4757
5960026,130581.4666,63740.54575
5960031,136421.2413,68817.33414
5960034,133271.8361,62263.82799
5960035,144090.3873,58399.8917
6061021,138740.5659,50128.35492
6062003,111171.6482,76742.56954
6170008,158646.8722,31962.38868
6170015,160012.7049,30244.91406
6170028,159355.6825,31770.89333
6364003,125593.3399,38025.19297
6364005,124930.4332,38294.30313
6466006,136795.3397,24368.52218
6466015,131107.0842,24322.63029
6466025,146717.8609,15146.37917
6466028,138830.8397,26079.57739
6467098,150057.0449,8240.297578
6567028,142568.5951,5961.370408
6567080,141556.1187,8376.635393
6567083,140022.7867,7485.169737
6567088,141811.5804,5608.627226
6567090,129895.7075,5402.310801
6667043,157769.2597,2894.154501
6667104,129895.7075,5402.310801
6768011,127727.3564,7167.476652
6769008,126210.7137,19309.02881
6769025,116597.1827,17821.0124
6879036,173253.8954,85905.26107
6879039,172765.8114,85682.79423
6879043,169724.205,83885.44778
6879098,169341.9329,83777.18561
6881041,162015.7028,80113.73614
6979013,174438.3416,85518.46044
6979026,174854.908,86698.67183
6979055,175061.0453,86593.45907
6979062,174894.0069,86464.82098
6979063,175027.1517,85812.48179
7079047,176200.5689,86702.48264
7079068,176064.0696,86054.8949
7079069,176305.9503,87102.83469
7079079,176996.3658,89069.59416
7079092,182274.602,93948.73329
7181005,156617.623,68861.16928
7181030,144388.6172,69413.23985
7181045,144581.8133,74120.36765
7181055,152391.7109,74055.82884
7283001,174319.8102,91995.63342
7283016,165178.0833,86762.25588
7283029,178755.2563,93835.11789
7380013,147629.6572,94321.99034
7384025,113636.0985,114187.9809
